name,ID,age,birth_zoo,birthdate,child_as_father,child_as_mother,cur_zoo,dead_cause,deaddate,father,gender,image,mother,move_date1,move_date2,move_date3,move_zoo1,move_zoo2,move_zoo3,reading
キラリ,1,14,姫路セントラルパーク,2011年6月27日,,"モッチー (https://www.notion.so/04c810f264764539a58898afd3c9c039?pvs=21), ひかり (https://www.notion.so/11d42aa6316c80889c75e2b217229ffc?pvs=21), ライト (https://www.notion.so/11d42aa6316c804b9b03f78ba7803f39?pvs=21), 咲耶 (https://www.notion.so/12442aa6316c80cb9a02e32bb4fc3086?pvs=21), 梅香 (https://www.notion.so/12942aa6316c806193cdd464f0ce0a0f?pvs=21)",西山動物園,腸閉塞,2025年7月6日,トロ (https://www.notion.so/12342aa6316c8021bd0dce904050d161?pvs=21),メス,https://www.codaworry.com/images/submitted/X71Qu9bADQA.jpg,キララ_茶臼山 (https://www.notion.so/_-12342aa6316c806b931eeb95d2f6bd76?pvs=21),2013年2月14日,,,西山動物園,,,
モッチー,2,10,西山動物園,2015年6月24日,"ニーコ (https://www.notion.so/11d42aa6316c8060937afa82e55180cb?pvs=21), 令花 (https://www.notion.so/11d42aa6316c80a49d54f234685caafd?pvs=21)",,西山動物園,,,ヤンヤン_西山 (https://www.notion.so/_-2f0384ee47d04782b1a726c6c1768a32?pvs=21),オス,https://www.codaworry.com/images/submitted/X-uMlVHADQA.jpg,キラリ (https://www.notion.so/0445acdffb7d47e7839c96515b34ff1d?pvs=21),,,,,,,
ヤンヤン_西山,3,15,西山動物園,2010年6月24日,"モッチー (https://www.notion.so/04c810f264764539a58898afd3c9c039?pvs=21), ライト (https://www.notion.so/11d42aa6316c804b9b03f78ba7803f39?pvs=21), ひかり (https://www.notion.so/11d42aa6316c80889c75e2b217229ffc?pvs=21), 咲耶 (https://www.notion.so/12442aa6316c80cb9a02e32bb4fc3086?pvs=21), 梅香 (https://www.notion.so/12942aa6316c806193cdd464f0ce0a0f?pvs=21)",,西山動物園,,2021年1月23日,純純 (https://www.notion.so/12442aa6316c80b59fa7e0c4f47f38cb?pvs=21),オス,"https://www.codaworry.com/images/submitted/WXNRTYbADQA.jpg, https://web.archive.org/web/20190804173610im_/https://www.city.sabae.fukui.jp/nishiyama_zoo/panda/images/yanyan_top.jpg",ララ_西山 (https://www.notion.so/_-12442aa6316c809e8937c4b23acb98be?pvs=21),,,,,,,
かのこ,4,9,多摩動物公園,2016年6月24日,,"カイト (https://www.notion.so/11d42aa6316c8085a465c8897fbf4081?pvs=21), かえで (https://www.notion.so/11d42aa6316c8023b015e5fe9b62a8c5?pvs=21), ピースケ (https://www.notion.so/15242aa6316c80f089d5e82fff218b63?pvs=21)",西山動物園,,,フランケン (https://www.notion.so/13342aa6316c80ad9273e9eac0902188?pvs=21),メス,https://www.codaworry.com/images/submitted/Wag7tIOADQA.jpg,アズキ (https://www.notion.so/13342aa6316c8081aef6c67da804a706?pvs=21),2019年3月19日,,,西山動物園,,,
ライト,5,12,西山動物園,2013年7月18日,"カイト (https://www.notion.so/11d42aa6316c8085a465c8897fbf4081?pvs=21), かえで (https://www.notion.so/11d42aa6316c8023b015e5fe9b62a8c5?pvs=21)",,西山動物園,,,ヤンヤン_西山 (https://www.notion.so/_-2f0384ee47d04782b1a726c6c1768a32?pvs=21),オス,https://www.codaworry.com/images/submitted/WJibzhSADQA.jpg,キラリ (https://www.notion.so/0445acdffb7d47e7839c96515b34ff1d?pvs=21),,,,,,,
ひかり,6,12,西山動物園,2013年7月18日,,,西山動物園,腸閉塞,2024年3月10日,ヤンヤン_西山 (https://www.notion.so/_-2f0384ee47d04782b1a726c6c1768a32?pvs=21),メス,"https://www.codaworry.com/images/submitted/WZJTnm2ADQA.jpg, https://www.codaworry.com/images/submitted/XD9MdQPADQE.jpg, https://www.codaworry.com/images/submitted/XNR-_RIADQQ.jpg",キラリ (https://www.notion.so/0445acdffb7d47e7839c96515b34ff1d?pvs=21),,,,,,,
たいよう_池田,7,12,池田動物園,2013年6月15日,ピースケ (https://www.notion.so/15242aa6316c80f089d5e82fff218b63?pvs=21),,西山動物園,,,大地_東武 (https://www.notion.so/_-13642aa6316c8006a29ce8d3df591962?pvs=21),オス,https://www.codaworry.com/images/submitted/Woh5wsWADQA.jpg,ひより (https://www.notion.so/13642aa6316c80888138dbff22c11f5b?pvs=21),2015年2月13日,,,西山動物園,,,
まつば,8,11,日本平動物園,2014年7月17日,,"ニーコ (https://www.notion.so/11d42aa6316c8060937afa82e55180cb?pvs=21), 令花 (https://www.notion.so/11d42aa6316c80a49d54f234685caafd?pvs=21)",西山動物園,,,タク (https://www.notion.so/12142aa6316c80388e88df9e30497f27?pvs=21),メス,https://www.codaworry.com/images/submitted/WNRibv9ADQA.jpg,シー (https://www.notion.so/12142aa6316c804a941efcaf68cebc0c?pvs=21),2018年3月26日,,,西山動物園,,,
ニーコ,9,6,西山動物園,2019年7月12日,,,浜松市動物園,,,モッチー (https://www.notion.so/04c810f264764539a58898afd3c9c039?pvs=21),メス,https://www.codaworry.com/images/submitted/XujIkfhADQA.jpg,まつば (https://www.notion.so/11d42aa6316c80a3a7c4cab3dda81793?pvs=21),2025年6月20日,,,浜松市動物園,,,
令花,10,6,西山動物園,2019年7月12日,,,大森山動物園,,,モッチー (https://www.notion.so/04c810f264764539a58898afd3c9c039?pvs=21),メス,https://www.codaworry.com/images/submitted/XTKLt06ADQA.jpg,まつば (https://www.notion.so/11d42aa6316c80a3a7c4cab3dda81793?pvs=21),2025年4月14日,,,大森山動物園,,,レイファ
カイト,11,3,西山動物園,2022年6月27日,,,インドネシア,,,ライト (https://www.notion.so/11d42aa6316c804b9b03f78ba7803f39?pvs=21),オス,"https://www.codaworry.com/images/submitted/YO_NKpiADQA.jpg, https://www.codaworry.com/images/submitted/Y_b-tVHADQD.jpg",かのこ (https://www.notion.so/11d42aa6316c80ff8f7dfbad903c43b7?pvs=21),2024年6月2日,,,インドネシア,,,
かえで,12,3,西山動物園,2022年6月27日,,,いしかわ動物園,,,ライト (https://www.notion.so/11d42aa6316c804b9b03f78ba7803f39?pvs=21),メス,https://www.codaworry.com/images/submitted/YOvi1_EADQA.jpg,かのこ (https://www.notion.so/11d42aa6316c80ff8f7dfbad903c43b7?pvs=21),2025年3月3日,,,いしかわ動物園,,,
ケンシン,13,13,茶臼山動物園,2012年6月18日,"小百合 (https://www.notion.so/11d42aa6316c8022b234d2cd4387bb0e?pvs=21), ケンタ_大森山 (https://www.notion.so/_-11d42aa6316c80e0836df2feed965e07?pvs=21), かんた (https://www.notion.so/11d42aa6316c8048b1f8e3bda7532743?pvs=21), ひなた (https://www.notion.so/11d42aa6316c801fb656f959aeaab6e9?pvs=21)",,大森山動物園,,,チャオ_西山 (https://www.notion.so/_-12942aa6316c80fa8a5af7775f527362?pvs=21),オス,"https://pds.exblog.jp/pds/1/201503/10/25/e0157225_2154366.jpg, https://pds.exblog.jp/pds/1/201502/23/25/e0157225_22142578.jpg, https://pds.exblog.jp/pds/1/201502/23/25/e0157225_2215977.jpg, https://pds.exblog.jp/pds/1/201502/23/25/e0157225_22171595.jpg, https://www.codaworry.com/images/submitted/WS6xtd5ADQA.jpg",アジサイ (https://www.notion.so/12942aa6316c809fae1fd65707d489cb?pvs=21),2015年3月17日,,,大森山動物園,,,
百合,14,12,大森山動物園,2013年6月26日,,"小百合 (https://www.notion.so/11d42aa6316c8022b234d2cd4387bb0e?pvs=21), ケンタ_大森山 (https://www.notion.so/_-11d42aa6316c80e0836df2feed965e07?pvs=21), かんた (https://www.notion.so/11d42aa6316c8048b1f8e3bda7532743?pvs=21), ひなた (https://www.notion.so/11d42aa6316c801fb656f959aeaab6e9?pvs=21)",大森山動物園,消化器疾患,2022年10月30日,ユウタ (https://www.notion.so/11f42aa6316c80358a2de3c0b5b6a6b4?pvs=21),メス,https://www.codaworry.com/images/submitted/Wy3Ia43ADQA.jpg,陸_大森山 (https://www.notion.so/_-12142aa6316c80e0a839d40e1729b814?pvs=21),,,,,,,ユリ
小百合,15,9,大森山動物園,2016年7月13日,,,円山動物園,,,ケンシン (https://www.notion.so/11d42aa6316c8031b573e251a8863043?pvs=21),メス,"https://www.codaworry.com/images/submitted/V5SPvfnADQJ.jpg, https://www.codaworry.com/images/submitted/Y22-pLCADQD.jpg, https://www.codaworry.com/images/submitted/Xv-S8HlADQA.jpg, https://www.codaworry.com/images/submitted/XqgTzWWADQK.jpg",百合 (https://www.notion.so/11d42aa6316c80f6a217d300f01fc367?pvs=21),2022年11月2日,,,円山動物園,,,サユリ
ケンタ_大森山,16,9,大森山動物園,2016年7月13日,,,群馬サファリパーク,,,ケンシン (https://www.notion.so/11d42aa6316c8031b573e251a8863043?pvs=21),オス,https://www.codaworry.com/images/submitted/WQSX99gADQA.jpg,百合 (https://www.notion.so/11d42aa6316c80f6a217d300f01fc367?pvs=21),2018年3月1日,,,群馬サファリパーク,,,
